STATIONS_ID,MESS_DATUM,QUALITAETS_NIVEAU,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
433,1948-05-23,5,6.0,63.00,9.2,12.8,1002.20,-999,6.7,9.4,15.9,-999,0,.0,-999,0
433,1948-05-24,5,4.0,52.00,10.2,19.0,1001.40,-999,6.4,9.3,26.1,-999,1,.0,-999,0
433,1948-05-25,5,6.3,61.00,11.0,16.4,1008.50,-999,11.1,12.3,20.5,-999,0,.0,-999,0
433,1948-05-26,5,5.0,65.00,13.0,17.8,1005.10,-999,9.3,11.8,25.6,-999,0,.0,-999,0
433,1948-05-27,5,5.3,58.00,9.0,13.4,1007.10,-999,10.5,12.5,16.7,-999,1,1.5,-999,0
433,1948-05-28,5,8.0,66.00,10.8,14.2,1004.50,-999,5.9,9.2,17.5,-999,0,.0,-999,0
433,1948-05-29,5,8.0,82.00,11.3,11.4,1001.60,-999,11.1,10.1,14.7,-999,1,2.2,-999,0
433,1948-05-30,5,7.3,65.00,9.2,12.3,1004.70,-999,6.0,7.9,15.6,-999,1,.1,-999,0
433,1948-05-31,5,5.0,71.00,9.7,12.0,1009.80,-999,6.3,8.0,16.2,-999,1,.6,-999,0
433,1948-06-01,5,1.3,49.00,9.2,17.4,1004.50,-999,3.8,7.5,22.6,-999,1,.0,-999,0
433,1948-06-02,5,4.7,52.00,10.6,18.0,1000.10,-999,8.0,11.8,24.6,-999,0,.0,-999,0
433,1948-06-03,5,5.3,58.00,9.2,13.9,996.20,-999,10.7,12.8,17.8,-999,1,.3,-999,0
433,1948-06-04,5,3.3,54.00,8.8,14.7,1001.20,-999,4.9,7.5,18.8,-999,1,.3,-999,0
433,1948-06-05,5,6.7,66.00,11.1,15.4,1011.50,-999,8.5,10.0,19.3,-999,0,.0,-999,0
433,1948-06-06,5,4.0,45.00,10.2,20.0,1012.70,-999,9.7,12.8,24.4,-999,0,.0,-999,0
433,1948-06-07,5,2.7,42.00,11.5,23.2,1012.80,-999,10.1,13.4,28.8,-999,0,.0,-999,0
433,1948-06-08,5,.7,45.00,11.6,21.8,1015.40,-999,14.0,17.2,26.6,-999,0,.0,-999,0
433,1948-06-09,5,1.3,41.00,11.5,23.7,1012.70,-999,11.5,14.7,29.6,-999,0,.0,-999,0
433,1948-06-10,5,2.0,46.00,14.6,25.0,1011.40,-999,14.0,18.0,30.8,-999,0,.0,-999,0
433,1948-06-11,5,1.7,52.00,15.7,24.7,1011.00,-999,15.8,18.1,30.7,-999,0,.0,-999,0
433,1948-06-12,5,5.0,64.00,14.1,18.8,1009.60,-999,15.6,17.8,24.7,-999,0,.0,-999,0
433,1948-06-13,5,1.3,49.00,10.6,19.0,1013.60,-999,10.9,12.6,24.4,-999,1,5.1,-999,0
433,1948-06-14,5,.3,36.00,8.8,22.3,1011.30,-999,10.0,12.7,28.5,-999,0,.0,-999,0
433,1948-06-15,5,7.7,38.00,11.8,25.4,1004.40,-999,11.9,15.0,32.0,-999,0,.0,-999,0
433,1948-06-16,5,5.0,76.00,17.1,19.3,1005.00,-999,15.7,16.5,25.6,-999,1,3.5,-999,0
